Title,Author,Released,Purchased,Medium,Type,Category,Methodology,Theme1,Theme2,Theme3,Theme4,Theme5
The Lean Enterprise,Trevor Owens & Obie Fernandez,2014,2016-11-15,Audible,Knowledge,Startup,Lean,lean,delivery,business-value,product-thinking,
The Cathedral & the Bazaar,Eric S. Raymond,1999,2016-11-01,Kindle,Knowledge,Computer Science,,systems-thinking,digital,complexity,,
The Mythical Man-Month,Frederick P. Brooks Jr.,1975,2016-11-01,Kindle,Knowledge,Computer Science,,systems-thinking,delivery,complexity,,
Blackout,Marc Elsberg,2012,2016-10-28,Audible,Story,Near Future,,chaos,future-scenarios,civilization,,
Superforecasting,Philip Tetlock & Dan Gardner,2015,2016-10-25,Audible,Knowledge,Strategy,,complexity,future-scenarios,strategy,,
Der Tod und andere Höhepunkte meines Lebens,Sebastian Niedlich,2015,2016-10-21,Audible,Story,Comedy,,identity,chaos,,,
Homo Deus,Yuval Noah Harari,2015,2016-10-17,Kindle,Knowledge,Anthropology,,civilization,future-scenarios,ai-impact,evolution,
A Guide to the Project Management Body of Knowledge,Project Management Institute,2013,2016-10-13,Kindle,Reference,Technical,,delivery,agile,,,
Practices for Scaling Lean & Agile Development,Craig Larman & Bas Vodde,2010,2016-10-08,Kindle,Knowledge,Agile & Lean,LeSS,agile,lean,delivery,business-agility,
Homo Deus,Yuval Noah Harari,2015,2016-10-08,Audible,Knowledge,Anthropology,,civilization,future-scenarios,ai-impact,evolution,
Leading Change,John P. Kotter,1996,2016-10-06,Audible,Knowledge,Organization,,leadership,systems-thinking,business-agility,,
Eine kurze Geschichte der Menschheit,Yuval Noah Harari,2011,2016-10-05,Audible,Knowledge,Anthropology,,civilization,evolution,human-behavior,,
Holacracy,Brian J. Robertson,2015,2016-10-03,Kindle,Knowledge,Organization,,agile,systems-thinking,complexity,business-agility,
Gearys Ehre,Jack Campbell,2016,2016-10-03,Audible,Story,Space Opera,,leadership,civilization,strategy,,
Verschwörung auf Serena,Stefan Burban,2016,2016-10-03,Audible,Story,Space Opera,,civilization,future-scenarios,chaos,,
La ragazza nella nebbia,Donato Carrisi,2015,2016-09-28,Kindle,Story,Crime,,power-dynamics,ethics,,,
La ragazza nel parco,Alafair Burke,2016,2016-09-28,Kindle,Story,Crime,,power-dynamics,ethics,,,
Never say anything,Michael Lüders,2014,2016-09-28,Audible,Knowledge,Politics,,power-dynamics,civilization,ethics,,
Die Menschheit ist verloren,Jasper T. Scott,2014,2016-09-28,Audible,Story,Space Opera,,chaos,civilization,future-scenarios,,
Guadeloupe und seine Inseln,Heidrun Brockmann & Stefan Sedlmair,2016,2016-09-25,Kindle,Reference,Lifestyle,,creativity,,,,
Todesflut,Phillip P. Peterson,2016,2016-09-22,Audible,Story,Near Future,,chaos,civilization,future-scenarios,,
Flash Boys,Michael Lewis,2014,2016-09-15,Audible,Knowledge,Economics,,power-dynamics,ethics,digital,,
The Digital Transformation Playbook,David L. Rogers,2016,2016-09-11,Kindle,Knowledge,Organization,,digital,business-agility,strategy,systems-thinking,
Sterneninvasion,Marko Kloos,2014,2016-09-04,Audible,Story,Space Opera,,civilization,future-scenarios,chaos,,
The Phoenix Project,Gene Kim & Kevin Behr & George Spafford,2013,2016-07-31,Audible,Story,Business Fiction,,delivery,lean,systems-thinking,flow,
Kanban The Kanban guide,PAUL VII,2016,2016-07-28,Kindle,Knowledge,Agile & Lean,Kanban,kanban,lean,flow,delivery,
Zero to One,Blake Masters & Peter Thiel,2014,2016-06-27,Kindle,Knowledge,Startup,,strategy,business-value,product-thinking,,
Rocket Surgery Made Easy,Steve Krug,2009,2016-06-27,Kindle,Knowledge,Design,,user-experience,customer-centricity,design-thinking,,
Zero to One,Peter Thiel & Blake Masters,2014,2016-06-27,Audible,Knowledge,Startup,,strategy,business-value,product-thinking,,
Artificial Intelligence for Humans Volume 3,Jeff Heaton,2015,2016-06-26,Kindle,Knowledge,AI,,ai-impact,future-scenarios,digital,,
Data and Goliath,Bruce Schneier,2015,2016-06-26,Kindle,Knowledge,Politics,,power-dynamics,digital,ethics,,
The Age of Em,Robin Hanson,2016,2016-06-26,Kindle,Knowledge,Anthropology,,future-scenarios,ai-impact,evolution,consciousness,
The Three-Body Problem,Cixin Liu,2006,2016-06-26,Audible,Story,Hard Science,,civilization,complexity,ai-impact,,
The Medusa Chronicles,Stephen Baxter & Alastair Reynolds,2016,2016-06-24,Audible,Story,Space Opera,,civilization,future-scenarios,complexity,,
The Power of Scrum,Jeff Sutherland & Rini van Solingen & Eelco Rustenberg,2011,2016-06-22,Kindle,Knowledge,Agile & Lean,Scrum,agile,delivery,business-agility,,
Fifty Quick Ideas To Improve Your Retrospectives,Tom Roden & Ben Williams,2014,2016-06-22,Kindle,Knowledge,Agile & Lean,,agile,delivery,business-agility,,
SAFe - Das Scaled Agile Framework,Christoph Mathis,2016,2016-06-22,Kindle,Knowledge,Agile & Lean,SAFe,agile,delivery,business-agility,lean,
Wo ist das Problem?,Emmanuel Sauvonnet & Markus Blatt,2016,2016-06-20,Kindle,Knowledge,Organization,TOC,systems-thinking,lean,flow,delivery,
Wie Elon Musk die Welt verändert,Ashlee Vance,2015,2016-06-18,Audible,Story,Biography,,future-scenarios,creativity,strategy,,
Advanced Training for Scrum Masters and Agile Coaches,Dan Tousignant,2016,2016-06-13,Kindle,Knowledge,Agile & Lean,Scrum,agile,delivery,business-agility,,
Selbstorganisierte Teams führen,Siegfried Kaltenecker,2016,2016-06-06,Kindle,Story,Organization,,leadership,systems-thinking,business-agility,complexity,
Scaling Lean & Agile Development,Craig Larman & Bas Vodde,2008,2016-06-06,Kindle,Knowledge,Agile & Lean,LeSS,agile,lean,delivery,business-agility,
Der Abgrund jenseits der Träume,Peter F. Hamilton & Wolfgang Thon,2014,2016-06-01,Audible,Story,Space Opera,,consciousness,civilization,future-scenarios,ai-impact,
Schwarze Welt,Peter F. Hamilton,2012,2016-05-24,Audible,Story,Space Opera,,consciousness,civilization,future-scenarios,chaos,
Service Design for Business,Ben Reason & Lavrans Løvlie & Melvin Brand Flu,2015,2016-05-22,Kindle,Knowledge,Design,,customer-centricity,design-thinking,business-value,product-thinking,
Strategize,Roman Pichler,2016,2016-05-22,Kindle,Knowledge,Product,,product-thinking,strategy,business-value,agile,
Design Thinking Workshop,Pauline Tonhauser,2016,2016-05-22,Kindle,Knowledge,Design,Design-Thinking,design-thinking,creativity,human-behavior,customer-centricity,
So lügt man mit Statistik,Walter Krämer,2015,2016-05-19,Kindle,Knowledge,Science,,human-behavior,systems-thinking,ethics,,
Wir schaffen das nicht!,Michael Berlach,2016,2016-05-14,Kindle,Knowledge,Organization,,leadership,business-agility,delivery,agile,
Der Schock - die Silvesternacht in Köln,Alice Schwarzer,2016,2016-05-14,Kindle,Knowledge,Politics,,power-dynamics,civilization,ethics,,
Soumission,Michel Houellebecq,2015,2016-05-14,Kindle,Story,Literary Fiction,,power-dynamics,civilization,identity,,
Aera - Die Rückkehr der Götter,Markus Heitz,2016,2016-05-14,Audible,Story,High Fantasy,,civilization,power-dynamics,chaos,,
Das Objekt,John Sandford & Ingrid Herrmann-Nytko,2016,2016-05-14,Audible,Story,Thriller,,human-behavior,identity,chaos,,
Quick & Dirty,Adel Abdel-Latif,2016,2016-05-12,Kindle,Story,Comedy,,creativity,identity,,,
Agile Teams lösungsfokussiert coachen,Veronika Kotrba & Ralph Miarka,2016,2016-05-10,Kindle,Knowledge,Agile & Lean,,agile,leadership,delivery,coaching,
The Scrum Master Training Manual,Nader K. Rad & Frank Turley,2016,2016-05-10,Kindle,Knowledge,Agile & Lean,Scrum,agile,delivery,,,
Scrum Mega Pack,Paul VII,2016,2016-05-10,Audible,Knowledge,Agile & Lean,Scrum,agile,delivery,,,
Confessions of a Scrum Master,Paul VII,2016,2016-05-10,Audible,Knowledge,Agile & Lean,Scrum,agile,delivery,,,
Eisiger Himmel,Jeff Carlson,2016,2016-05-08,Audible,Story,Thriller,,chaos,future-scenarios,,,
Progressive Muskelentspannung & Autogenes Training,Claudia Gebhard,2016,2016-05-08,Audible,Knowledge,Health,,health,,,,
Macbeth: Ein Epos,David Hewson & A. J. Hartley,2016,2016-05-07,Audible,Story,Historical Fiction,,power-dynamics,identity,,,
Träumende Leere,Peter F. Hamilton,2010,2016-04-22,Audible,Story,Space Opera,,consciousness,civilization,future-scenarios,,
The One Thing,Gary Keller,2013,2016-03-27,Kindle,Knowledge,Leadership,,leadership,strategy,delivery,identity,
The ONE Thing,Gary Keller & Jay Papasan,2013,2016-03-27,Audible,Knowledge,Leadership,,leadership,strategy,delivery,identity,
Writing: A User Manual,David Hewson,2014,2016-03-14,Kindle,Knowledge,Communication,,creativity,,,,
Sinuhe der Ägypter,Mika Waltari,1945,2016-03-14,Audible,Story,Historical Fiction,,civilization,identity,,,
In dunkelster Stunde,Stefan Burban,2016,2016-03-14,Audible,Story,Near Future,,chaos,civilization,future-scenarios,,
Der nackte Gott,Peter F. Hamilton & Axel Merz,2000,2016-03-12,Audible,Story,Space Opera,,consciousness,civilization,chaos,,
Originals,Adam Grant,2016,2016-03-11,Kindle,Knowledge,Psychology,,creativity,human-behavior,identity,,
Originals,Adam Grant & Sheryl Sandberg,2016,2016-03-11,Audible,Knowledge,Psychology,,creativity,human-behavior,identity,,
Wie managt man eigentlich seinen Chef?,Fredmund Malik,2003,2016-03-11,Audible,Knowledge,Leadership,,leadership,power-dynamics,influence,,
TED Talks Storytelling,Akash Karia,2015,2016-03-10,Kindle,Knowledge,Communication,,influence,creativity,leadership,,
TED Talks Storytelling,Akash Karia,2015,2016-03-10,Audible,Knowledge,Communication,,influence,creativity,leadership,,
Das Ende des Zufalls,Rudi Klausnitzer,2016,2016-03-09,Kindle,Knowledge,Science,,future-scenarios,systems-thinking,ai-impact,,
Die ersten 100 Tage,Fredmund Malik,2006,2016-03-09,Audible,Knowledge,Leadership,,leadership,strategy,,,
Navigieren in Zeiten des Umbruchs,Fredmund Malik,2009,2016-03-09,Audible,Knowledge,Leadership,,leadership,strategy,business-agility,complexity,
Strategic Storytelling,Dave McKinsey,2016,2016-03-08,Kindle,Knowledge,Communication,,influence,strategy,leadership,,
Goethe,Georg Simmel,1913,2016-03-06,Kindle,Knowledge,Philosophy,,identity,consciousness,,,
Fear the Future,Stephen Moss,2014,2016-02-24,Audible,Story,Near Future,,ai-impact,future-scenarios,civilization,,
Willkommen in Lovecraft,Joe Hill & Gabriel Rodriguez,2013,2016-02-22,Audible,Story,Crime,,power-dynamics,,,,
Big Data: Die neue Intelligenz des Menschen,GEO Magazin,2016,2016-02-18,Kindle,Knowledge,AI,,ai-impact,future-scenarios,digital,,
Big Data - Technologiegrundlagen,Mirko Schrempp,2016,2016-02-18,Kindle,Knowledge,Computer Science,,digital,systems-thinking,,,
Gesundheit 2.0,Andréa Belliger & David J. Krieger,2016,2016-02-18,Kindle,Knowledge,Health,,health,digital,,,
Digitales Neuland,Thomas Becker & Carsten Knop,2015,2016-02-18,Kindle,Knowledge,Economics,,digital,future-scenarios,business-agility,,
Fear the Survivors,Stephen Moss,2014,2016-02-10,Audible,Story,Near Future,,ai-impact,future-scenarios,civilization,,
Praxisbuch eHealth,Roland Trill,2015,2016-02-01,Kindle,Knowledge,Health,,health,digital,,,
Das Kartell,Don Winslow,2015,2016-01-19,Audible,Story,Crime,,power-dynamics,civilization,,,
An Elementary Introduction to the Wolfram Language,Stephen Wolfram,2015,2016-01-06,Kindle,Reference,Technical,,digital,systems-thinking,,,
Data und Goliath,Bruce Schneier,2015,2016-01-05,Kindle,Knowledge,Politics,,power-dynamics,digital,ethics,,
Schrecklich amüsant,David Foster Wallace,1996,2016-01-03,Kindle,Knowledge,Literary Fiction,,creativity,identity,human-behavior,,
Die Besessenen,Peter F. Hamilton & Axel Merz,1998,2015-12-23,Audible,Story,Space Opera,,consciousness,civilization,chaos,,
Das Kartell: Roman,Don Winslow,2015,2015-11-29,Kindle,Story,Crime,,power-dynamics,civilization,,,
Tage der Toten,Don Winslow,2005,2015-11-29,Audible,Story,Crime,,power-dynamics,civilization,,,
Tage der Toten: Roman,Don Winslow,2005,2015-11-21,Kindle,Story,Crime,,power-dynamics,civilization,,,
Schrecklich amüsant - aber in Zukunft ohne mich,David Foster Wallace,1996,2015-11-21,Audible,Knowledge,Literary Fiction,,creativity,identity,human-behavior,,
Amalthea,Neal Stephenson,2015,2015-11-13,Audible,Story,Hard Science,,civilization,future-scenarios,chaos,,
More Than Human,Ramez Naam,2005,2015-11-05,Kindle,Story,Post-Human,,evolution,ai-impact,consciousness,,
Crux,Ramez Naam,2013,2015-11-05,Audible,Story,Post-Human,,evolution,ai-impact,consciousness,,
Seveneves,Neal Stephenson,2015,2015-11-03,Audible,Story,Hard Science,,civilization,future-scenarios,chaos,,
Am Abgrund der Ewigkeit,Phillip P. Peterson,2015,2015-11-03,Audible,Story,Hard Science,,future-scenarios,civilization,chaos,,
Fear the Future (The Fear Saga Book 3),Stephen Moss,2014,2015-10-28,Kindle,Story,Near Future,,ai-impact,future-scenarios,civilization,,
Fear the Survivors (The Fear Saga Book 2),Stephen Moss,2013,2015-10-28,Kindle,Story,Near Future,,ai-impact,future-scenarios,civilization,,
Leviathan Wakes,James S. A. Corey,2011,2015-10-28,Audible,Story,Space Opera,,civilization,future-scenarios,complexity,,
Nexus,Ramez Naam,2012,2015-10-26,Audible,Story,Post-Human,,ai-impact,consciousness,evolution,,
Der Neutronium Alchimist,Peter F. Hamilton & Axel Merz,1997,2015-10-20,Audible,Story,Space Opera,,civilization,chaos,consciousness,,
Hört auf zu arbeiten!,Anja Förster & Peter Kreuz,2015,2015-10-12,Kindle,Knowledge,Leadership,,leadership,creativity,business-agility,,
Hört auf zu arbeiten!,Peter Kreuz & Anja Förster,2015,2015-10-12,Audible,Knowledge,Leadership,,leadership,creativity,business-agility,,
Der Abgrund jenseits der Träume (Die Chronik der Faller 1): Roman,Peter F. Hamilton,2014,2015-10-05,Kindle,Story,Space Opera,,consciousness,civilization,future-scenarios,ai-impact,
Das letzte Mal: LTM in Kur (LTM-Kurzkrimis 1),Leon Specht,2015,2015-10-01,Kindle,Story,Crime,,power-dynamics,,,,
Berkshire Hathaway Letters to Shareholders 2023,Warren Buffett & Max Olson,2024,2015-10-01,Kindle,Reference,Business,,business-value,strategy,,,
Breaking Banks,Brett King,2014,2015-10-01,Kindle,Knowledge,Economics,,digital,business-agility,future-scenarios,,
Fluchtpunkt Ixion,Jack Campbell,2015,2015-09-28,Audible,Story,Space Opera,,civilization,strategy,chaos,,
The Crippled God,Steven Erikson,2011,2015-09-27,Kindle,Story,High Fantasy,,power-dynamics,chaos,civilization,,
Stefan Loose Reiseführer Kuba,Dirk Krüger,2015,2015-09-27,Kindle,Reference,Lifestyle,,civilization,identity,human-behavior,,
Seelengesänge,Peter F. Hamilton & Axel Merz,1996,2015-09-02,Audible,Story,Space Opera,,consciousness,civilization,chaos,,
Battlemage,Stephen Aryan,2015,2015-09-02,Audible,Story,High Fantasy,,power-dynamics,chaos,civilization,,
Black Jack,Jack Campbell,2014,2015-08-21,Audible,Story,Space Opera,,civilization,chaos,,,
Der Fürst,Niccolò Machiavelli,1513,2015-08-19,Kindle,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
Vom Kriege,Carl Philipp Gottlieb von Clausewitz,1832,2015-08-19,Kindle,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
Die Kunst des Krieges,Sunzi & Sun Tsu & Sun Tzu,2003,2015-08-19,Kindle,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
Niccolò Machiavelli - Gesammelte Werke,Niccolò Machiavelli,2014,2015-08-19,Kindle,Knowledge,Strategy,,strategy,power-dynamics,leadership,civilization,
Psychologie der Massen,Gustave Le Bon,1895,2015-08-19,Kindle,Knowledge,Psychology,,human-behavior,power-dynamics,influence,civilization,
Psychologie der Massen,Gustav Le Bon,1895,2015-08-19,Audible,Knowledge,Psychology,,human-behavior,power-dynamics,influence,civilization,
The Basic Laws of Human Stupidity,Carlo M. Cipolla,1976,2015-08-18,Kindle,Knowledge,Psychology,,human-behavior,ethics,,,
Verschwörung,David Lagercrantz,2015,2015-08-17,Audible,Story,Thriller,,power-dynamics,,,,
Girl on the Train - Du kennst sie nicht aber sie kennt dich,Paula Hawkins,2015,2015-08-16,Kindle,Story,Thriller,,human-behavior,identity,power-dynamics,,
Girl on the Train: Du kennst sie nicht aber sie kennt dich,Paula Hawkins,2015,2015-08-16,Audible,Story,Thriller,,human-behavior,identity,power-dynamics,,
Evolution der Leere,Peter F. Hamilton,2012,2015-08-02,Kindle,Story,Space Opera,,consciousness,civilization,evolution,,
Träumende Leere,Peter F. Hamilton,2010,2015-08-02,Kindle,Story,Space Opera,,consciousness,civilization,future-scenarios,,
Der ewige Krieg,Joe Haldeman,1974,2015-07-31,Audible,Story,Classic SF,,civilization,chaos,future-scenarios,,
Nahende Finsternis,Stefan Burban,2015,2015-07-31,Audible,Story,Near Future,,civilization,chaos,future-scenarios,,
Düstere Vorzeichen,Stefan Burban,2015,2015-07-26,Audible,Story,Near Future,,civilization,chaos,future-scenarios,,
The Lost Fleet: Fearless,Jack Campbell,2007,2015-07-26,Audible,Story,Near Future,,civilization,chaos,future-scenarios,,
Scrum,Jeff Sutherland & J.J. Sutherland,2014,2015-07-15,Audible,Story,Space Opera,,civilization,strategy,,,
Managing Product Management,Steven Haines,2017,2015-07-13,Kindle,Knowledge,Agile & Lean,Scrum,agile,delivery,leadership,,
Cracking the PM Interview,Gayle Laakmann McDowell & Jackie Bavaro,2013,2015-07-13,Kindle,Knowledge,Product,,product-thinking,strategy,business-value,,
The Guide to the Product Management and Marketing Body of Knowledge,Greg Geracie & Steven Eppinger,2017,2015-07-13,Kindle,Knowledge,Product,,product-thinking,strategy,business-value,customer-centricity,
Jonah - Das Imperium,Rebecca Gablé,2006,2015-07-04,Audible,Knowledge,Product,,product-thinking,strategy,business-value,customer-centricity,
Getting Things Done,David Allen,2001,2015-07-01,Kindle,Story,Historical Fiction,,civilization,power-dynamics,identity,,
Jonah - Der Aufstieg,Rebecca Gablé,2005,2015-06-25,Audible,Knowledge,Organization,,delivery,flow,identity,,
Das Starling Projekt,Jeffery Deaver,2014,2015-06-21,Audible,Story,Crime,,human-behavior,power-dynamics,strategy,,
Jonah - Die Lehrjahre,Rebecca Gablé,2004,2015-06-18,Audible,Story,Historical Fiction,,identity,civilization,ethics,,
Der Babylon-Kult,Tom Knox,2015,2015-06-12,Audible,Story,Thriller,,civilization,ethics,chaos,,
Schwarmdumm,Gunter Dueck,2015,2015-06-10,Audible,Knowledge,Organization,,human-behavior,systems-thinking,complexity,,
Ausgefressen,Moritz Matthies,2015,2015-06-08,Audible,Story,Crime,,human-behavior,identity,,,
Mad Business,Joerg Bartussek & Oliver Weyergraf,2015,2015-06-06,Audible,Knowledge,Leadership,,human-behavior,creativity,business-agility,,
Transport,Phillip P. Peterson,2015,2015-06-03,Audible,Story,Hard Science,,future-scenarios,systems-thinking,,,
Fear the Sky,Stephen Moss,2013,2015-05-17,Audible,Story,Near Future,,ai-impact,future-scenarios,civilization,,
Furchtlos,Jack Campbell,2006,2015-05-07,Audible,Story,Space Opera,,strategy,leadership,civilization,,
Westeros,Linda Antonsson & George R.R. Martin & Elio M. Garcia Jr.,2014,2015-04-13,Audible,Reference,Business,,civilization,strategy,,,
Game of Thrones - Das Lied von Eis und Feuer 18,George R.R. Martin,2011,2015-04-13,Audible,Story,High Fantasy,,power-dynamics,civilization,chaos,,
Game of Thrones - Das Lied von Eis und Feuer 17,George R.R. Martin,2011,2015-04-13,Audible,Story,High Fantasy,,power-dynamics,civilization,chaos,,
Letzte Hilfe,Sebastian Fitzek,2014,2015-04-05,Audible,Story,Thriller,,human-behavior,chaos,ethics,,
Das Haupt der Welt,Rebecca Gablé,2009,2015-03-22,Audible,Story,Historical Fiction,,civilization,power-dynamics,leadership,,
Krieger,P. E. Jones,2015,2015-03-18,Audible,Story,High Fantasy,,strategy,power-dynamics,,,
Hell's Kitchen,P. E. Jones,2015,2015-03-12,Audible,Story,Crime,,power-dynamics,chaos,,,
Fehlfunktion,Peter F. Hamilton & Axel Merz,1996,2015-03-05,Audible,Story,Space Opera,,complexity,chaos,future-scenarios,,
Eine Billion Dollar,Andreas Eschbach,1999,2015-03-04,Audible,Story,Near Future,,strategy,power-dynamics,civilization,,
Überwachungsdemokratie,Bernhard H. F. Taureck,2014,2015-02-26,Kindle,Knowledge,Politics,,power-dynamics,ethics,digital,,
Our Final Invention,James Barrat,2013,2015-02-25,Kindle,Knowledge,AI,,ai-impact,ethics,future-scenarios,,
Schwarmdumm: So blöd sind wir nur gemeinsam,Gunter Dueck,2015,2015-02-17,Kindle,Knowledge,Organization,,human-behavior,systems-thinking,complexity,,
33 Gesetze der Strategie,Robert Greene,2007,2015-02-17,Audible,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
The Abyss Beyond Dreams,Peter F. Hamilton,2014,2015-02-17,Audible,Story,Space Opera,,civilization,complexity,future-scenarios,,
The Player of Games,Iain M. Banks,1988,2015-02-10,Audible,Story,Space Opera,,strategy,civilization,ai-impact,,
Scrum. Schnelleinstieg,Andreas Wintersteiger,2012,2015-02-06,Kindle,Knowledge,Agile & Lean,Scrum,agile,delivery,business-agility,,
Blackhat Hacking Pocket Guide 2015,hathaway mr,2015,2015-02-06,Kindle,Reference,Technical,,digital,strategy,,,
Value Proposition Design,Alexander Osterwalder & Yves Pigneur & Gregory Bernarda & Alan Smith,2014,2015-01-27,Kindle,Knowledge,Product,,customer-centricity,business-value,product-thinking,,
Er ist wieder da,Timur Vermes,2012,2015-01-21,Audible,Story,Literary Fiction,,identity,power-dynamics,human-behavior,,
Der Marsianer,Andy Weir,2011,2015-01-10,Audible,Story,Hard Science,,future-scenarios,chaos,human-behavior,,
Extinction,Kazuaki Takano,2012,2015-01-10,Audible,Story,Thriller,,civilization,chaos,ethics,,
Die unbekannte Macht,Peter F. Hamilton & Axel Merz,1996,2015-01-06,Audible,Story,Space Opera,,complexity,chaos,future-scenarios,,
Das Kultur-Spiel,Iain Banks,1988,2014-12-19,Kindle,Story,Space Opera,,strategy,civilization,ai-impact,,
Bedenke Phlebas,Iain Banks,1987,2014-12-19,Kindle,Story,Space Opera,,civilization,strategy,ai-impact,,
The Forever War,Joe Haldeman,1974,2014-12-19,Audible,Story,Hard Science,,future-scenarios,chaos,civilization,,
The Peripheral,William Gibson,2014,2014-12-15,Audible,Story,Near Future,,digital,power-dynamics,future-scenarios,,
Scrum Kompakt,Sebastian Neus,2011,2014-12-09,Kindle,Knowledge,Agile & Lean,Scrum,agile,delivery,business-agility,,
Die Kraft von Scrum,Henning Wolf & Rini van Solingen & Eelco Rustenburg,2011,2014-12-09,Kindle,Knowledge,Agile & Lean,Scrum,agile,delivery,business-agility,,
Consider Phlebas,Iain M. Banks,1987,2014-12-06,Audible,Story,Space Opera,,civilization,strategy,ai-impact,,
Fluch des Nikolaus,Johanna Steiner,2014,2014-12-06,Audible,Story,Crime,,chaos,human-behavior,,,
Fifty Quick Ideas To Improve Your User Stories,Gojko Adzic & David Evans,2014,2014-12-01,Kindle,Knowledge,Product,,customer-centricity,product-thinking,delivery,,
Management Y,Ulf Brandes & Pascal Gemmer & Holger Koschek & Lydia Schültken,2014,2014-12-01,Kindle,Knowledge,Organization,,leadership,human-behavior,business-agility,,
Management 3.0,Jurgen Appelo,2010,2014-11-22,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,leadership,complexity,,
Der Jesus-Deal,Andreas Eschbach,2014,2014-11-22,Audible,Story,Thriller,,ethics,civilization,chaos,,
User Story Mapping,Jeff Patton & Peter Economy,2014,2014-11-19,Kindle,Knowledge,Product,,customer-centricity,product-thinking,business-agility,,
Modernist Cooking Made Easy: Sous Vide,Jason Logsdon,2013,2014-11-17,Kindle,Reference,Lifestyle,,creativity,,,,
Das dunkle Echo,Leon Specht,2014,2014-10-23,Kindle,Story,Crime,,human-behavior,chaos,,,
Mythos oder Medizin,Irene Berres & Julia Merlot,2014,2014-10-21,Kindle,Knowledge,Health,,health,human-behavior,,,
Das Jesus-Video,Andreas Eschbach,2000,2014-10-11,Audible,Story,Thriller,,ethics,civilization,chaos,,
Selbst denken,Harald Welzer,2013,2014-10-10,Audible,Knowledge,Philosophy,,ethics,civilization,identity,,
Geheimer Krieg,Christian Fuchs & John Goetz,2014,2014-10-05,Kindle,Knowledge,Politics,,power-dynamics,ethics,strategy,,
Modernist Cooking Made Easy: Party Foods,Jason Logsdon,2013,2014-10-02,Kindle,Reference,Lifestyle,,creativity,,,,
Modernist Cooking Made Easy: The Whipping Siphon,Jason Logsdon,2013,2014-10-02,Kindle,Reference,Lifestyle,,creativity,,,,
Modernist Cooking Made Easy: Getting Started,Jason Logsdon,2013,2014-10-02,Kindle,Reference,Lifestyle,,creativity,,,,
Die 24 Gesetze der Verführung,Robert Greene,2001,2014-09-19,Audible,Knowledge,Strategy,,influence,strategy,power-dynamics,,
Kinder der Freiheit,Ken Follett,2014,2014-09-18,Audible,Story,Historical Fiction,,civilization,power-dynamics,identity,,
Sagans Tagebuch,John Scalzi,2005,2014-09-18,Audible,Story,Space Opera,,ai-impact,future-scenarios,ethics,,
Das Escape-Manifest,Rob Symington & Dom Jackman & Mikey Howe,2014,2014-09-13,Kindle,Knowledge,Startup,,identity,creativity,business-value,,
Eine unberührte Welt,Andreas Eschbach,2003,2014-09-12,Audible,Story,Hard Science,,future-scenarios,ethics,evolution,,
Smartcuts,Shane Snow,2014,2014-09-09,Kindle,Knowledge,Leadership,,strategy,creativity,business-agility,,
Emotional Intelligence 2.0,Travis Bradberry & Jean Greaves,2009,2014-09-09,Audible,Knowledge,Psychology,,human-behavior,leadership,identity,,
Nexus,Ramez Naam,2012,2014-09-01,Audible,Story,Post-Human,,ai-impact,evolution,consciousness,,
Psychopolitik,Byung-Chul Han,2014,2014-08-17,Kindle,Knowledge,Politics,,power-dynamics,digital,ethics,,
Level,Hugh Howey,2013,2014-08-17,Audible,Story,Near Future,,future-scenarios,chaos,human-behavior,,
23 Things They Don't Tell You about Capitalism,Ha-Joon Chang,2010,2014-08-04,Audible,Knowledge,Economics,,strategy,power-dynamics,civilization,,
Capital in the Twenty-First Century,Thomas Piketty & Arthur Goldhammer,2013,2014-07-01,Audible,Knowledge,Economics,,power-dynamics,civilization,strategy,,
ZERO,Marc Elsberg,2014,2014-05-26,Audible,Story,Thriller,,chaos,digital,future-scenarios,,
Narrenturm,Andrzej Sapkowski,2002,2014-05-26,Audible,Story,Historical Fiction,,civilization,identity,ethics,,
Cypherpunks,Julian Assange & Jacob Appelbaum & Andy Müller-Maguhn,2012,2014-05-20,Audible,Knowledge,Politics,,digital,power-dynamics,ethics,,
Die Eleganz des Tötens,A. K. Benedict,2014,2014-05-12,Audible,Story,Crime,,chaos,human-behavior,,,
Capital in the Twenty-First Century,Thomas Piketty,2013,2014-04-23,Kindle,Knowledge,Economics,,power-dynamics,civilization,strategy,,
MARCO POLO Reiseführer Rom,Swantje Strieder,2014,2014-04-17,Kindle,Reference,Lifestyle,,civilization,,,,
Business Model You,Timothy Clark & Alexander Osterwalder & Yves Pigneur,2012,2014-04-16,Kindle,Knowledge,Startup,,identity,business-value,strategy,,
Business Model Generation,Alexander Osterwalder & Yves Pigneur,2010,2014-04-16,Kindle,Knowledge,Organization,,business-value,strategy,product-thinking,,
30 Minuten Design Thinking,Jochen Gürtler & Johannes Meyer,2013,2014-04-16,Audible,Knowledge,Design,Design-Thinking,design-thinking,creativity,customer-centricity,,
Die letzte Einheit,John Scalzi,2006,2014-04-08,Audible,Story,Space Opera,,civilization,future-scenarios,,,
